country,indicator,time_period,number,numberperc,sex,region
Czech Republic,Out-of-school rate for children of primary school age (administrative data),01/01/2019,1.21,1%,Male,Europe
Ivory Coast,Out-of-school rate for children of primary school age (administrative data),01/01/2020,7.01,7%,Female,Africa
Ivory Coast,Out-of-school rate for children of primary school age (administrative data),01/01/2020,0.28,0%,Male,Africa
Denmark,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.43,0%,Female,Europe
Denmark,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.92,1%,Male,Europe
Djibouti,Out-of-school rate for children of primary school age (administrative data),01/01/2021,36.10,36%,Female,Africa
Djibouti,Out-of-school rate for children of primary school age (administrative data),01/01/2021,31.01,31%,Male,Africa
Dominica,Out-of-school rate for children of primary school age (administrative data),01/01/2020,0.77,1%,Female,Americas
Dominica,Out-of-school rate for children of primary school age (administrative data),01/01/2020,1.01,1%,Male,Americas
Dominican Republic,Out-of-school rate for children of primary school age (administrative data),01/01/2020,3.58,4%,Female,Americas
Dominican Republic,Out-of-school rate for children of primary school age (administrative data),01/01/2020,4.62,5%,Male,Americas
El Salvador,Out-of-school rate for children of primary school age (administrative data),01/01/2014,6.64,7%,Female,Americas
El Salvador,Out-of-school rate for children of primary school age (administrative data),01/01/2014,7.03,7%,Male,Americas
Equatorial Guinea,Out-of-school rate for children of primary school age (administrative data),01/01/2015,54.81,55%,Female,Africa
Equatorial Guinea,Out-of-school rate for children of primary school age (administrative data),01/01/2015,55.78,56%,Male,Africa
Eritrea,Out-of-school rate for children of primary school age (administrative data),01/01/2018,49.81,50%,Female,Africa
Eritrea,Out-of-school rate for children of primary school age (administrative data),01/01/2018,44.99,45%,Male,Africa
Estonia,Out-of-school rate for children of primary school age (administrative data),01/01/2019,2.11,2%,Female,Europe
Estonia,Out-of-school rate for children of primary school age (administrative data),01/01/2019,2.85,3%,Male,Europe
Swaziland,Out-of-school rate for children of primary school age (administrative data),01/01/2019,15.90,16%,Female,Africa
Swaziland,Out-of-school rate for children of primary school age (administrative data),01/01/2019,14.57,15%,Male,Africa
Ethiopia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,16.85,17%,Female,Africa
Ethiopia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,8.83,9%,Male,Africa
Fiji,Out-of-school rate for children of primary school age (administrative data),01/01/2015,1.21,1%,Female,Oceania
Fiji,Out-of-school rate for children of primary school age (administrative data),01/01/2015,0.58,1%,Male,Oceania
Finland,Out-of-school rate for children of primary school age (administrative data),01/01/2019,1.55,2%,Female,Europe
Finland,Out-of-school rate for children of primary school age (administrative data),01/01/2019,2.18,2%,Male,Europe
France,Out-of-school rate for children of primary school age (administrative data),01/01/2016,0.03,0%,Female,Europe
France,Out-of-school rate for children of primary school age (administrative data),01/01/2016,0.30,0%,Male,Europe
Gabon,Out-of-school rate for children of primary school age (administrative data),01/01/2019,22.84,23%,Female,Africa
Gabon,Out-of-school rate for children of primary school age (administrative data),01/01/2019,23.75,24%,Male,Africa
Gambia,Out-of-school rate for children of primary school age (administrative data),01/01/2021,8.11,8%,Female,Africa
Gambia,Out-of-school rate for children of primary school age (administrative data),01/01/2021,19.05,19%,Male,Africa
Georgia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,0.07,0%,Female,Asia
Georgia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,1.12,1%,Male,Asia
Germany,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.30,0%,Female,Europe
Germany,Out-of-school rate for children of primary school age (administrative data),01/01/2019,1.63,2%,Male,Europe
Ghana,Out-of-school rate for children of primary school age (administrative data),01/01/2020,5.07,5%,Female,Africa
Ghana,Out-of-school rate for children of primary school age (administrative data),01/01/2020,6.86,7%,Male,Africa
Greece,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.62,1%,Female,Europe
Greece,Out-of-school rate for children of primary school age (administrative data),01/01/2019,1.15,1%,Male,Europe
Grenada,Out-of-school rate for children of primary school age (administrative data),01/01/2016,2.82,3%,Female,Americas
Grenada,Out-of-school rate for children of primary school age (administrative data),01/01/2016,3.80,4%,Male,Americas
Guatemala,Out-of-school rate for children of primary school age (administrative data),01/01/2020,10.02,10%,Female,Americas
Guatemala,Out-of-school rate for children of primary school age (administrative data),01/01/2020,11.07,11%,Male,Americas
Guinea,Out-of-school rate for children of primary school age (administrative data),01/01/2020,21.34,21%,Female,Africa
Guinea,Out-of-school rate for children of primary school age (administrative data),01/01/2020,7.68,8%,Male,Africa
Holy See (Vatican City State),Out-of-school rate for children of primary school age (administrative data),01/01/2022,0.00,0%,Female,Europe
Holy See (Vatican City State),Out-of-school rate for children of primary school age (administrative data),01/01/2022,0.00,0%,Male,Europe
Honduras,Out-of-school rate for children of primary school age (administrative data),01/01/2018,14.87,15%,Female,Americas
Honduras,Out-of-school rate for children of primary school age (administrative data),01/01/2018,16.49,16%,Male,Americas
Hungary,Out-of-school rate for children of primary school age (administrative data),01/01/2019,5.68,6%,Female,Europe
Hungary,Out-of-school rate for children of primary school age (administrative data),01/01/2019,5.27,5%,Male,Europe
Iceland,Out-of-school rate for children of primary school age (administrative data),01/01/2016,0.54,1%,Female,Europe
Iceland,Out-of-school rate for children of primary school age (administrative data),01/01/2016,0.37,0%,Male,Europe
India,Out-of-school rate for children of primary school age (administrative data),01/01/2020,4.21,4%,Female,Asia
India,Out-of-school rate for children of primary school age (administrative data),01/01/2020,6.43,6%,Male,Asia
Indonesia,Out-of-school rate for children of primary school age (administrative data),01/01/2018,7.98,8%,Female,Asia
Indonesia,Out-of-school rate for children of primary school age (administrative data),01/01/2018,3.39,3%,Male,Asia
Italy,Out-of-school rate for children of primary school age (administrative data),01/01/2019,3.65,4%,Female,Europe
Italy,Out-of-school rate for children of primary school age (administrative data),01/01/2019,3.35,3%,Male,Europe
Jamaica,Out-of-school rate for children of primary school age (administrative data),01/01/2019,29.02,29%,Female,Americas
Jamaica,Out-of-school rate for children of primary school age (administrative data),01/01/2019,37.44,37%,Male,Americas
Jordan,Out-of-school rate for children of primary school age (administrative data),01/01/2020,20.58,21%,Female,Asia
Jordan,Out-of-school rate for children of primary school age (administrative data),01/01/2020,19.61,20%,Male,Asia
Kazakhstan,Out-of-school rate for children of primary school age (administrative data),01/01/2020,9.30,9%,Female,Asia
Kazakhstan,Out-of-school rate for children of primary school age (administrative data),01/01/2020,9.91,10%,Male,Asia
Kuwait,Out-of-school rate for children of primary school age (administrative data),01/01/2016,0.88,1%,Female,Asia
Kuwait,Out-of-school rate for children of primary school age (administrative data),01/01/2016,4.38,4%,Male,Asia
Lao People's Democratic Republic,Out-of-school rate for children of primary school age (administrative data),01/01/2020,8.99,9%,Female,Asia
Lao People's Democratic Republic,Out-of-school rate for children of primary school age (administrative data),01/01/2020,7.51,8%,Male,Asia
Latvia,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.80,1%,Female,Europe
Latvia,Out-of-school rate for children of primary school age (administrative data),01/01/2019,1.53,2%,Male,Europe
Lesotho,Out-of-school rate for children of primary school age (administrative data),01/01/2018,5.98,6%,Female,Africa
Lesotho,Out-of-school rate for children of primary school age (administrative data),01/01/2018,7.67,8%,Male,Africa
Liberia,Out-of-school rate for children of primary school age (administrative data),01/01/2017,21.07,21%,Female,Africa
Liberia,Out-of-school rate for children of primary school age (administrative data),01/01/2017,21.64,22%,Male,Africa
Liechtenstein,Out-of-school rate for children of primary school age (administrative data),01/01/2014,1.83,2%,Female,Europe
Liechtenstein,Out-of-school rate for children of primary school age (administrative data),01/01/2014,2.85,3%,Male,Europe
Luxembourg,Out-of-school rate for children of primary school age (administrative data),01/01/2015,0.99,1%,Female,Europe
Luxembourg,Out-of-school rate for children of primary school age (administrative data),01/01/2015,1.12,1%,Male,Europe
Malaysia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,1.37,1%,Female,Asia
Malaysia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,1.83,2%,Male,Asia
Maldives,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.73,1%,Female,Asia
Maldives,Out-of-school rate for children of primary school age (administrative data),01/01/2019,3.17,3%,Male,Asia
Mali,Out-of-school rate for children of primary school age (administrative data),01/01/2018,44.17,44%,Female,Africa
Mali,Out-of-school rate for children of primary school age (administrative data),01/01/2018,37.91,38%,Male,Africa
Marshall Islands,Out-of-school rate for children of primary school age (administrative data),01/01/2020,30.23,30%,Female,Oceania
Marshall Islands,Out-of-school rate for children of primary school age (administrative data),01/01/2020,29.33,29%,Male,Oceania
Mauritania,Out-of-school rate for children of primary school age (administrative data),01/01/2019,21.25,21%,Female,Africa
Mauritania,Out-of-school rate for children of primary school age (administrative data),01/01/2019,24.98,25%,Male,Africa
"Micronesia, Federated States of",Out-of-school rate for children of primary school age (administrative data),01/01/2020,16.01,16%,Female,Oceania
"Micronesia, Federated States of",Out-of-school rate for children of primary school age (administrative data),01/01/2020,17.31,17%,Male,Oceania
Mongolia,Out-of-school rate for children of primary school age (administrative data),01/01/2015,3.25,3%,Female,Asia
Mongolia,Out-of-school rate for children of primary school age (administrative data),01/01/2015,1.88,2%,Male,Asia
Montenegro,Out-of-school rate for children of primary school age (administrative data),01/01/2017,2.70,3%,Female,Europe
Montenegro,Out-of-school rate for children of primary school age (administrative data),01/01/2017,2.85,3%,Male,Europe
Montserrat,Out-of-school rate for children of primary school age (administrative data),01/01/2014,15.18,15%,Female,Americas
Montserrat,Out-of-school rate for children of primary school age (administrative data),01/01/2014,14.52,15%,Male,Americas
Morocco,Out-of-school rate for children of primary school age (administrative data),01/01/2017,2.56,3%,Female,Africa
Morocco,Out-of-school rate for children of primary school age (administrative data),01/01/2017,2.25,2%,Male,Africa
Mozambique,Out-of-school rate for children of primary school age (administrative data),01/01/2019,3.72,4%,Female,Africa
Mozambique,Out-of-school rate for children of primary school age (administrative data),01/01/2019,1.09,1%,Male,Africa
Nauru,Out-of-school rate for children of primary school age (administrative data),01/01/2020,2.87,3%,Female,Oceania
Nauru,Out-of-school rate for children of primary school age (administrative data),01/01/2020,5.80,6%,Male,Oceania
Netherlands,Out-of-school rate for children of primary school age (administrative data),01/01/2017,0.53,1%,Female,Europe
Netherlands,Out-of-school rate for children of primary school age (administrative data),01/01/2017,1.39,1%,Male,Europe
New Zealand,Out-of-school rate for children of primary school age (administrative data),01/01/2016,0.57,1%,Female,Oceania
New Zealand,Out-of-school rate for children of primary school age (administrative data),01/01/2016,1.32,1%,Male,Oceania
Niger,Out-of-school rate for children of primary school age (administrative data),01/01/2019,44.91,45%,Female,Africa
Niger,Out-of-school rate for children of primary school age (administrative data),01/01/2019,37.27,37%,Male,Africa
"Macedonia, the former Yugoslav Republic of",Out-of-school rate for children of primary school age (administrative data),01/01/2018,0.79,1%,Female,Europe
"Macedonia, the former Yugoslav Republic of",Out-of-school rate for children of primary school age (administrative data),01/01/2018,0.61,1%,Male,Europe
Norway,Out-of-school rate for children of primary school age (administrative data),01/01/2014,0.12,0%,Female,Europe
Norway,Out-of-school rate for children of primary school age (administrative data),01/01/2014,0.05,0%,Male,Europe
Panama,Out-of-school rate for children of primary school age (administrative data),01/01/2020,10.62,11%,Female,Americas
Panama,Out-of-school rate for children of primary school age (administrative data),01/01/2020,10.41,10%,Male,Americas
Papua New Guinea,Out-of-school rate for children of primary school age (administrative data),01/01/2016,10.38,10%,Female,Oceania
Papua New Guinea,Out-of-school rate for children of primary school age (administrative data),01/01/2016,4.48,4%,Male,Oceania
Philippines,Out-of-school rate for children of primary school age (administrative data),01/01/2020,3.90,4%,Female,Asia
Philippines,Out-of-school rate for children of primary school age (administrative data),01/01/2020,3.24,3%,Male,Asia
Poland,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.95,1%,Female,Europe
Poland,Out-of-school rate for children of primary school age (administrative data),01/01/2019,1.33,1%,Male,Europe
Portugal,Out-of-school rate for children of primary school age (administrative data),01/01/2017,1.20,1%,Female,Europe
Portugal,Out-of-school rate for children of primary school age (administrative data),01/01/2017,0.06,0%,Male,Europe
Qatar,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.35,0%,Female,Asia
Qatar,Out-of-school rate for children of primary school age (administrative data),01/01/2019,3.39,3%,Male,Asia
South Korea,Out-of-school rate for children of primary school age (administrative data),01/01/2018,0.95,1%,Female,Asia
South Korea,Out-of-school rate for children of primary school age (administrative data),01/01/2018,0.90,1%,Male,Asia
Romania,Out-of-school rate for children of primary school age (administrative data),01/01/2019,12.76,13%,Female,Europe
Romania,Out-of-school rate for children of primary school age (administrative data),01/01/2019,12.61,13%,Male,Europe
Russian Federation,Out-of-school rate for children of primary school age (administrative data),01/01/2016,0.21,0%,Female,Europe
Russian Federation,Out-of-school rate for children of primary school age (administrative data),01/01/2016,0.96,1%,Male,Europe
Rwanda,Out-of-school rate for children of primary school age (administrative data),01/01/2019,6.20,6%,Female,Africa
Rwanda,Out-of-school rate for children of primary school age (administrative data),01/01/2019,6.49,6%,Male,Africa
Saint Lucia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,0.58,1%,Female,Americas
Saint Lucia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,5.84,6%,Male,Americas
San Marino,Out-of-school rate for children of primary school age (administrative data),01/01/2020,5.07,5%,Female,Europe
San Marino,Out-of-school rate for children of primary school age (administrative data),01/01/2020,2.45,2%,Male,Europe
Sao Tome and Principe,Out-of-school rate for children of primary school age (administrative data),01/01/2017,6.02,6%,Female,Africa
Sao Tome and Principe,Out-of-school rate for children of primary school age (administrative data),01/01/2017,6.05,6%,Male,Africa
Saudi Arabia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,4.97,5%,Female,Asia
Saudi Arabia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,5.38,5%,Male,Asia
Senegal,Out-of-school rate for children of primary school age (administrative data),01/01/2020,19.49,19%,Female,Africa
Senegal,Out-of-school rate for children of primary school age (administrative data),01/01/2020,29.67,30%,Male,Africa
Serbia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,2.91,3%,Female,Europe
Serbia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,2.87,3%,Male,Europe
Seychelles,Out-of-school rate for children of primary school age (administrative data),01/01/2019,14.12,14%,Female,Africa
Seychelles,Out-of-school rate for children of primary school age (administrative data),01/01/2019,2.32,2%,Male,Africa
Sierra Leone,Out-of-school rate for children of primary school age (administrative data),01/01/2015,1.54,2%,Female,Africa
Sierra Leone,Out-of-school rate for children of primary school age (administrative data),01/01/2015,1.74,2%,Male,Africa
Singapore,Out-of-school rate for children of primary school age (administrative data),01/01/2018,0.13,0%,Female,Asia
Singapore,Out-of-school rate for children of primary school age (administrative data),01/01/2018,0.27,0%,Male,Asia
Slovakia,Out-of-school rate for children of primary school age (administrative data),01/01/2019,3.30,3%,Female,Europe
Slovakia,Out-of-school rate for children of primary school age (administrative data),01/01/2019,3.28,3%,Male,Europe
Slovenia,Out-of-school rate for children of primary school age (administrative data),01/01/2014,0.38,0%,Female,Europe
Slovenia,Out-of-school rate for children of primary school age (administrative data),01/01/2014,1.19,1%,Male,Europe
Solomon Islands,Out-of-school rate for children of primary school age (administrative data),01/01/2019,4.13,4%,Female,Oceania
Solomon Islands,Out-of-school rate for children of primary school age (administrative data),01/01/2019,9.01,9%,Male,Oceania
South Africa,Out-of-school rate for children of primary school age (administrative data),01/01/2019,9.81,10%,Female,Africa
South Africa,Out-of-school rate for children of primary school age (administrative data),01/01/2019,11.74,12%,Male,Africa
South Sudan,Out-of-school rate for children of primary school age (administrative data),01/01/2015,67.26,67%,Female,Africa
South Sudan,Out-of-school rate for children of primary school age (administrative data),01/01/2015,57.57,58%,Male,Africa
Spain,Out-of-school rate for children of primary school age (administrative data),01/01/2019,2.58,3%,Female,Europe
Spain,Out-of-school rate for children of primary school age (administrative data),01/01/2019,3.00,3%,Male,Europe
Sri Lanka,Out-of-school rate for children of primary school age (administrative data),01/01/2014,3.47,3%,Female,Asia
Sri Lanka,Out-of-school rate for children of primary school age (administrative data),01/01/2014,1.70,2%,Male,Asia
Palestine,Out-of-school rate for children of primary school age (administrative data),01/01/2020,4.86,5%,Female,Asia
Palestine,Out-of-school rate for children of primary school age (administrative data),01/01/2020,4.57,5%,Male,Asia
Sudan,Out-of-school rate for children of primary school age (administrative data),01/01/2018,35.27,35%,Female,Africa
Sudan,Out-of-school rate for children of primary school age (administrative data),01/01/2018,30.53,31%,Male,Africa
Suriname,Out-of-school rate for children of primary school age (administrative data),01/01/2020,10.17,10%,Female,Americas
Suriname,Out-of-school rate for children of primary school age (administrative data),01/01/2020,13.26,13%,Male,Americas
Tajikistan,Out-of-school rate for children of primary school age (administrative data),01/01/2016,2.49,2%,Female,Asia
Tajikistan,Out-of-school rate for children of primary school age (administrative data),01/01/2016,1.25,1%,Male,Asia
Timor-Leste,Out-of-school rate for children of primary school age (administrative data),01/01/2019,3.03,3%,Female,Asia
Timor-Leste,Out-of-school rate for children of primary school age (administrative data),01/01/2019,6.72,7%,Male,Asia
Togo,Out-of-school rate for children of primary school age (administrative data),01/01/2019,4.04,4%,Female,Africa
Togo,Out-of-school rate for children of primary school age (administrative data),01/01/2019,2.25,2%,Male,Africa
Turks and Caicos Islands,Out-of-school rate for children of primary school age (administrative data),01/01/2017,8.64,9%,Female,Americas
Turks and Caicos Islands,Out-of-school rate for children of primary school age (administrative data),01/01/2017,9.47,9%,Male,Americas
Tuvalu,Out-of-school rate for children of primary school age (administrative data),01/01/2020,16.36,16%,Female,Oceania
Tuvalu,Out-of-school rate for children of primary school age (administrative data),01/01/2020,18.43,18%,Male,Oceania
Turkey,Out-of-school rate for children of primary school age (administrative data),01/01/2019,5.03,5%,Female,Asia
Turkey,Out-of-school rate for children of primary school age (administrative data),01/01/2019,4.55,5%,Male,Asia
Uganda,Out-of-school rate for children of primary school age (administrative data),01/01/2017,12.22,12%,Female,Africa
Uganda,Out-of-school rate for children of primary school age (administrative data),01/01/2017,15.57,16%,Male,Africa
Ukraine,Out-of-school rate for children of primary school age (administrative data),01/01/2014,7.01,7%,Female,Europe
Ukraine,Out-of-school rate for children of primary school age (administrative data),01/01/2014,8.95,9%,Male,Europe
United Kingdom,Out-of-school rate for children of primary school age (administrative data),01/01/2019,1.26,1%,Female,Europe
United Kingdom,Out-of-school rate for children of primary school age (administrative data),01/01/2019,1.01,1%,Male,Europe
"Tanzania, United Republic of",Out-of-school rate for children of primary school age (administrative data),01/01/2020,14.51,15%,Female,Africa
"Tanzania, United Republic of",Out-of-school rate for children of primary school age (administrative data),01/01/2020,17.61,18%,Male,Africa
United States,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.85,1%,Female,Americas
United States,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.98,1%,Male,Americas
Uruguay,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.11,0%,Female,Americas
Uruguay,Out-of-school rate for children of primary school age (administrative data),01/01/2019,1.00,1%,Male,Americas
Uzbekistan,Out-of-school rate for children of primary school age (administrative data),01/01/2014,1.82,2%,Female,Asia
Uzbekistan,Out-of-school rate for children of primary school age (administrative data),01/01/2014,0.24,0%,Male,Asia
Vanuatu,Out-of-school rate for children of primary school age (administrative data),01/01/2020,3.92,4%,Female,Oceania
Vanuatu,Out-of-school rate for children of primary school age (administrative data),01/01/2020,2.93,3%,Male,Oceania
"Venezuela, Bolivarian Republic of",Out-of-school rate for children of primary school age (administrative data),01/01/2017,9.60,10%,Female,Americas
"Venezuela, Bolivarian Republic of",Out-of-school rate for children of primary school age (administrative data),01/01/2017,9.62,10%,Male,Americas
Yemen,Out-of-school rate for children of primary school age (administrative data),01/01/2016,21.12,21%,Female,Asia
Yemen,Out-of-school rate for children of primary school age (administrative data),01/01/2016,10.30,10%,Male,Asia
Zambia,Out-of-school rate for children of primary school age (administrative data),01/01/2017,12.97,13%,Female,Africa
Zambia,Out-of-school rate for children of primary school age (administrative data),01/01/2017,16.80,17%,Male,Africa
Zimbabwe,Out-of-school rate for children of primary school age (administrative data),01/01/2020,12.76,13%,Female,Africa
Zimbabwe,Out-of-school rate for children of primary school age (administrative data),01/01/2020,14.50,15%,Male,Africa
